total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry
70.0,32.0,16.0,10.1,12.0,"['籌碼歷史快照不足（少於2週），大戶趨勢暫給中性分數，建議持續每週執行以累積歷史資料', '股東人數歷史快照不足，暫給中性分數', '近22個交易日三大法人合計買超 808 張（約當期成交量 1.1%）', '近25個交易日融資餘額變化 -35.25%（下降代表籌碼較乾淨）', '近120個交易日內量增創高72.40元（52日前），目前拉回14.5%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約23.6%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬14.6%, 型態=normal, 位置=middle, 開喇叭=是）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",8383,TPEx,65.0,53.7801204095897,55.96321051353659,1.7952583253391836,0.14618843622530317,middle,buy_support,True,14.502762430939233,23.582995951417,千附,其他電子類
64.0,30.5,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.87 個百分點', '股東人數近2週變化 +0.07%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 7,950 張（約當期成交量 1.6%）', '近25個交易日融資餘額變化 -3.18%（下降代表籌碼較乾淨）', '近120個交易日內量增創高185.00元（42日前），目前拉回24.1%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約19.4%', '布林型態中性，無明顯訊號（帶寬17.1%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",1785,TPEx,153.0,48.98517026973133,55.78616403320563,-5.572668720246424,0.17140852801511688,middle,neutral,True,24.054054054054056,19.424284842611534,光洋科,其他電子類
62.0,32.0,8.0,10.1,12.0,"['籌碼歷史快照不足（少於2週），大戶趨勢暫給中性分數，建議持續每週執行以累積歷史資料', '股東人數歷史快照不足，暫給中性分數', '近22個交易日三大法人合計買超 5,500 張（約當期成交量 6.3%）', '近25個交易日融資餘額變化 -3.78%（下降代表籌碼較乾淨）', '近120個交易日內量增創高8.26元（79日前），目前拉回2.3%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約40.1%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬5.8%, 型態=normal, 位置=middle, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",5512,TPEx,8.18,86.96585931829102,85.96533443419908,7.041008068973133,0.057816062161261984,middle,buy_support,True,2.3002421307505996,40.136054421768705,力麒,建材營造
61.5,32.0,16.0,6.0,7.5,"['籌碼歷史快照不足（少於2週），大戶趨勢暫給中性分數，建議持續每週執行以累積歷史資料', '股東人數歷史快照不足，暫給中性分數', '近22個交易日三大法人合計買超 3,429 張（約當期成交量 3.8%）', '近25個交易日融資餘額變化 -6.42%（下降代表籌碼較乾淨）', '近120個交易日內量增創高49.35元（85日前），目前拉回20.0%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約31.6%', '布林型態中性，無明顯訊號（帶寬8.9%, 型態=normal, 位置=upper, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",4123,TPEx,39.8,44.64219750562515,34.19857682626454,2.493134689817718,0.08933831073676327,upper,neutral,True,19.959473150962516,31.56089193825043,晟德,生技醫療業
61.5,38.0,10.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.38 個百分點', '股東人數近2週變化 -1.72%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 31,895 張（約當期成交量 5.2%）', '近25個交易日融資餘額變化 -0.62%（下降代表籌碼較乾淨）', '近120個交易日內量增創高220.00元（8日前），目前拉回20.5%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約30.8%', '布林型態中性，無明顯訊號（帶寬41.9%, 型態=wide, 位置=middle, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",5347,TPEx,185.0,66.13426319303868,76.03363962723677,5.554159336516719,0.4189784004651391,middle,neutral,True,20.454545454545457,30.84507042253521,世界,半導體業
58.0,24.5,20.0,6.0,7.5,"['籌碼歷史快照不足（少於2週），大戶趨勢暫給中性分數，建議持續每週執行以累積歷史資料', '股東人數歷史快照不足，暫給中性分數', '近22個交易日三大法人合計賣超 6,721 張（約當期成交量 -2.9%）', '近25個交易日融資餘額變化 -6.64%（下降代表籌碼較乾淨）', '近120個交易日內量增創高700.00元（12日前），目前拉回25.3%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約19.1%', '布林型態中性，無明顯訊號（帶寬32.6%, 型態=wide, 位置=lower, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",8358,TPEx,563.0,60.09400648298703,65.28677534488526,3.646452635751085,0.3257918679084284,lower,neutral,True,25.285714285714285,19.148936170212774,金居,電子零組件業
57.5,27.5,20.0,2.6,7.5,"['籌碼歷史快照不足（少於2週），大戶趨勢暫給中性分數，建議持續每週執行以累積歷史資料', '股東人數歷史快照不足，暫給中性分數', '近22個交易日三大法人合計賣超 1,172 張（約當期成交量 -0.9%）', '近25個交易日融資餘額變化 -11.91%（下降代表籌碼較乾淨）', '近120個交易日內量增創高990.00元（53日前），目前拉回40.7%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約14.7%', '布林剛開喇叭，但三大法人為賣超方向，屬於應避開的型態（準則h）（帶寬51.0%, 型態=wide, 位置=middle, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",3363,TPEx,574.0,11.346558622490214,10.42872258490427,-24.42870936594786,0.5104035162025555,middle,neutral,True,40.707070707070706,14.652956298200515,上詮,通信網路業
56.5,25.0,18.0,6.0,7.5,"['籌碼歷史快照不足（少於2週），大戶趨勢暫給中性分數，建議持續每週執行以累積歷史資料', '股東人數歷史快照不足，暫給中性分數', '近22個交易日三大法人合計賣超 4,799 張（約當期成交量 -5.4%）', '近25個交易日融資餘額變化 -37.73%（下降代表籌碼較乾淨）', '近120個交易日內量增創高124.00元（27日前），目前拉回19.8%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約21.6%', '布林型態中性，無明顯訊號（帶寬15.6%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",6284,TPEx,105.0,50.278873636044025,50.51784369791319,4.687253406281233,0.1558101186714817,middle,neutral,True,19.758064516129032,21.568627450980394,佳邦,電子零組件業
55.5,32.0,16.0,6.0,1.5,"['籌碼歷史快照不足（少於2週），大戶趨勢暫給中性分數，建議持續每週執行以累積歷史資料', '股東人數歷史快照不足，暫給中性分數', '近22個交易日三大法人合計買超 2,066 張（約當期成交量 1.7%）', '近25個交易日融資餘額變化 -11.38%（下降代表籌碼較乾淨）', '近120個交易日內量增創高40.15元（40日前），目前拉回16.9%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約29.2%', '布林型態中性，無明顯訊號（帶寬19.3%, 型態=normal, 位置=middle, 開喇叭=是）', '月線準備往下，股價跌破月線 -> 葛蘭碧賣點④']",5009,TPEx,34.95,30.243205260261533,29.07023249494622,-3.844305622296959,0.1934408321923501,middle,sell_breakdown,True,16.936488169364875,29.189944134078218,榮剛,鋼鐵工業
54.5,35.0,0.0,12.0,7.5,"['籌碼歷史快照不足（少於2週），大戶趨勢暫給中性分數，建議持續每週執行以累積歷史資料', '股東人數歷史快照不足，暫給中性分數', '近22個交易日三大法人合計買超 2,808 張（約當期成交量 3.6%）', '近25個交易日融資餘額變化 -38.91%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '帶寬已大，三大法人買超，股價貼近下軌 -> 超跌轉機買點型態(範例4)（帶寬26.8%, 型態=wide, 位置=lower, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3357,TPEx,284.0,60.29420638865129,66.95043419635343,6.84123053963301,0.26755705245336503,lower,neutral,False,24.568965517241377,16.15598885793872,臺慶科,電子零組件業
